df_stat,crit_value_1pct,crit_value_5pct,crit_value_10pct,half_life,time_resolution,start_date,end_date,length
-2.970244966770478,-3.43,-2.86,-2.57,51.9219924853262,7200,2017-03-29,2017-05-25,-57
-2.3573143262252287,-3.46,-2.88,-2.57,19.561891216462563,14400,2017-07-09,2017-08-10,-32
-2.8639549320473265,-3.43,-2.86,-2.57,333.1030599561832,300,2017-09-06,2017-10-02,-26
-2.592846399882192,-3.44,-2.87,-2.57,17.030545231551258,7200,2017-05-15,2017-06-11,-27
-2.3596940080941846,-3.75,-3,-2.63,2.432276443394154,14400,2017-09-26,2017-09-30,-4
NaN,-3.75,-3,-2.63,-1.2755335417226077,86400,2017-09-29,2017-10-02,-3
-3.048140134996549,-3.43,-2.86,-2.57,112.0632033153998,900,2017-08-25,2017-09-15,-21
-2.1768820462357152,-3.75,-3,-2.63,1.9212727599926636,86400,2017-03-24,2017-04-12,-19
-2.2881296705165526,-3.51,-2.89,-2.58,7.429955607786282,14400,2017-07-18,2017-08-01,-14
-2.604807885843811,-3.44,-2.87,-2.57,25.741883934614556,1800,2017-07-14,2017-07-24,-10
-1.7071317680724434,-3.43,-2.86,-2.57,145.33967795439017,14400,2017-03-02,2017-09-02,-184
-2.7971146219646488,-3.43,-2.86,-2.57,1262.8801991583198,300,2017-06-27,2017-09-12,-77
-2.8040704134662295,-3.44,-2.87,-2.57,26.2320809495056,1800,2017-09-13,2017-09-22,-9
-2.644806459920683,-3.43,-2.86,-2.57,252.54407953136416,1800,2017-04-28,2017-08-06,-100
-1.6757290667660383,-3.46,-2.88,-2.57,26.69671871959516,1800,2017-07-03,2017-07-08,-5
-3.7061057960530834,-3.43,-2.86,-2.57,240.24835355649748,300,2017-08-27,2017-09-25,-29
-2.449737310175602,-3.44,-2.87,-2.57,33.782883327919095,14400,2017-05-22,2017-08-11,-81
-2.858358844082146,-3.43,-2.86,-2.57,213.24481096327023,900,2017-05-11,2017-06-21,-41
-1.6552317799350202,-3.46,-2.88,-2.57,16.359375395317763,14400,2017-07-26,2017-08-26,-31
-2.3355117725795775,-3.43,-2.86,-2.57,-98.88351787161535,1800,2017-01-07,2017-04-07,-90
-2.48659613875699,-3.43,-2.86,-2.57,999.8905396264782,900,2017-01-31,2017-09-12,-224
-3.4387464077177072,-3.43,-2.86,-2.57,953.4823989550664,300,2017-02-16,2017-05-31,-104
-2.0748776355628205,-3.46,-2.88,-2.57,24.322681642221404,86400,2017-03-06,2017-10-06,-214
-1.8674224090349778,-3.43,-2.86,-2.57,78.5670511560583,14400,2017-06-02,2017-09-13,-103
-3.3246035236120153,-3.43,-2.86,-2.57,1714.8792874399096,300,2017-02-12,2017-08-18,-187
-3.0661432733752014,-3.43,-2.86,-2.57,2322.970543018563,300,2017-01-17,2017-09-20,-246
-1.9486266346357168,-3.43,-2.86,-2.57,46.811288444850966,14400,2017-02-12,2017-06-16,-124
-2.8274127192446996,-3.43,-2.86,-2.57,1857.2995759133973,300,2017-04-26,2017-09-10,-137
-1.2116829907059699,-3.46,-2.88,-2.57,52.58637457273393,86400,2017-02-25,2017-08-26,-182
-1.9573077569994481,-3.46,-2.88,-2.57,21.759551127018007,86400,2017-01-26,2017-06-07,-132
-2.803407402291668,-3.43,-2.86,-2.57,2222.7464535312806,300,2017-02-04,2017-09-01,-209
-3.873222054123172,-3.43,-2.86,-2.57,27.014583957492885,900,2017-06-18,2017-07-03,-15
-2.3557025181770506,-3.43,-2.86,-2.57,597.2487555734127,1800,2017-02-17,2017-09-12,-207
-3.0306253055156347,-3.43,-2.86,-2.57,2334.7812133386524,300,2017-01-24,2017-09-22,-241
-3.049041425860775,-3.43,-2.86,-2.57,1435.7559736590401,300,2017-06-23,2017-09-27,-96
-2.218197008438689,-3.43,-2.86,-2.57,205.89117465727855,1800,2017-01-07,2017-03-20,-72
-3.7907153018134503,-3.43,-2.86,-2.57,1059.2955110650787,300,2017-02-05,2017-05-29,-113
-2.6128919869998337,-3.43,-2.86,-2.57,297.27327714014996,900,2017-07-30,2017-09-08,-40
-2.3166568364699964,-3.43,-2.86,-2.57,46.729691424533115,14400,2017-04-03,2017-07-27,-115
-2.6952824366190518,-3.43,-2.86,-2.57,281.5521918150387,900,2017-02-08,2017-03-15,-35
-2.264141317844147,-3.43,-2.86,-2.57,46.29985255052828,14400,2017-04-18,2017-08-03,-107
-1.8553404210181006,-3.44,-2.87,-2.57,73.81700940717575,14400,2017-02-28,2017-04-21,-52
-2.596142353038573,-3.43,-2.86,-2.57,516.6312420885533,1800,2017-03-27,2017-10-04,-191
