time_resolution,quote_currency,cointegration_test,adf_threshold,distance_threshold,train_window,test_window,model_type,spread_type,rolling_window,signal_logic,signal_scaled_enter,signal_discrete_enter,signal_discrete_exit,signal_stop,signal_reenter,signal_reenter_threshold,pair_allocation,pair_allocation_scaling,overall_return
300,BTC,eg,-2.9,0.29,49d 0H 0M 0S,7d 0H 0M 0S,raw,rolling,4320,scaled,3,1.7000000000000002,0.45,4.55,FALSE,0.35000000000000003,equal,1.6,1.7895197911086704
300,USDT,eg,-3.2,0.35,53d 0H 0M 0S,41d 0H 0M 0S,raw,rolling,12960,scaled,3,1.2,1,3.2,FALSE,0.9,scaled,1,1.7864397733621873
300,BTC,distance,-3.1,0.2,25d 0H 0M 0S,29d 0H 0M 0S,log,rolling,7200,scaled,3,1.4,0.45,3.5,TRUE,1.9000000000000001,scaled,1.9500000000000002,1.780750184695362
300,USDT,distance,-2.1,0.38,46d 0H 0M 0S,33d 0H 0M 0S,log,rolling,13248,scaled,4,1.05,0.55,4.9,TRUE,0.2,equal,1.7000000000000002,1.7778597729423216
300,BTC,distance,-3.85,0.24,15d 0H 0M 0S,27d 0H 0M 0S,raw,rolling,4320,scaled,4,1.05,0.9,6.050000000000001,TRUE,1.9500000000000002,equal,1.2,1.7752957537918506
300,USDT,distance,-2.15,0.2,35d 0H 0M 0S,50d 0H 0M 0S,raw,rolling,10080,scaled,3,1.5,0.2,4.15,FALSE,0.30000000000000004,weighted,1.05,1.7555886432909715
300,USDT,distance,-3.6,0.08,54d 0H 0M 0S,31d 0H 0M 0S,log,rolling,12096,scaled,2,2.5,0.2,6.800000000000001,TRUE,0.8500000000000001,weighted,1.3,1.7472296000197787
300,BTC,distance,-2.6,0.22000000000000003,28d 0H 0M 0S,19d 0H 0M 0S,log,rolling,8064,scaled,4,1.55,0.8500000000000001,3.65,TRUE,0.55,scaled,1.9500000000000002,1.742685040938242
300,USDT,distance,-3.2,0.33,52d 0H 0M 0S,41d 0H 0M 0S,log,rolling,12384,scaled,4,1.35,0.25,4.7,FALSE,0.45,scaled,1.15,1.7239914245241814
300,BTC,eg,-2,0.36,29d 0H 0M 0S,36d 0H 0M 0S,log,rolling,8352,scaled,3,2.25,0.8,5.25,TRUE,0.30000000000000004,scaled,1.9,1.7123274008299347
300,BTC,eg,-3.4000000000000004,0.05,32d 0H 0M 0S,50d 0H 0M 0S,log,rolling,6624,scaled,3,2,0.7000000000000001,3.8,TRUE,0.8500000000000001,equal,1.05,1.707953138735589
300,USDT,distance,-2.6,0.12000000000000001,56d 0H 0M 0S,56d 0H 0M 0S,log,rolling,8064,scaled,4,2.55,0.9500000000000001,6.300000000000001,TRUE,0.35000000000000003,weighted,1.9,1.7024433896140716
300,BTC,eg,-2.05,0.05,29d 0H 0M 0S,43d 0H 0M 0S,log,rolling,1728,scaled,4,1.25,0.7000000000000001,6.2,FALSE,0.55,weighted,1.9,1.687866270379017
300,BTC,eg,-2.6,0.26,18d 0H 0M 0S,14d 0H 0M 0S,raw,rolling,5184,scaled,2,2.4000000000000004,0.75,6.75,FALSE,1.2000000000000002,equal,2,1.6840232030253286
300,BTC,distance,-2.4,0.31,24d 0H 0M 0S,53d 0H 0M 0S,log,rolling,6912,scaled,3,1.85,0.15000000000000002,5.45,TRUE,1.3,weighted,1.25,1.6802756499975464
300,BTC,distance,-3.85,0.35,20d 0H 0M 0S,48d 0H 0M 0S,log,rolling,1728,scaled,4,2,0.9500000000000001,3.5,TRUE,1,weighted,1.45,1.6741051223823413
300,USDT,eg,-3.6500000000000004,0.21000000000000002,52d 0H 0M 0S,21d 0H 0M 0S,log,rolling,12096,scaled,4,1.6,0.9500000000000001,3.8,FALSE,0.45,equal,1.9,1.6654530983201534
300,BTC,eg,-3.95,0.4,43d 0H 0M 0S,5d 0H 0M 0S,raw,rolling,12384,scaled,3,1.85,0.6000000000000001,6.75,TRUE,0.55,scaled,1.75,1.6642501885980723
300,BTC,distance,-2.6,0.22000000000000003,36d 0H 0M 0S,37d 0H 0M 0S,log,rolling,10368,scaled,4,1.7000000000000002,0.30000000000000004,6.95,FALSE,1.4000000000000001,equal,1.25,1.6502690732016843
300,BTC,distance,-3.9000000000000004,0.2,10d 0H 0M 0S,52d 0H 0M 0S,log,rolling,2880,scaled,3,1.45,0.35000000000000003,5.9,FALSE,1.6,equal,1.5,1.6489709829232582
300,BTC,eg,-2.15,0.35,16d 0H 0M 0S,11d 0H 0M 0S,raw,rolling,4608,scaled,4,2.4000000000000004,0.9,6.7,TRUE,1.1,equal,1.15,1.6445272020081816
300,BTC,eg,-2.75,0.29,57d 0H 0M 0S,3d 0H 0M 0S,raw,rolling,10080,scaled,3,1.9,0.75,6.35,TRUE,0.25,weighted,1.7000000000000002,1.6272791462300575
300,BTC,eg,-2.8,0.1,13d 0H 0M 0S,14d 0H 0M 0S,raw,rolling,3744,scaled,2,1.7000000000000002,1,5.5,FALSE,0.6000000000000001,weighted,2,1.6155088602414138
300,BTC,eg,-2.35,0.29,58d 0H 0M 0S,11d 0H 0M 0S,log,rolling,7776,scaled,4,2.45,0,4.8,FALSE,0.1,scaled,1.2,1.5744508710147378
300,BTC,eg,-2.2,0.37,11d 0H 0M 0S,57d 0H 0M 0S,raw,rolling,3168,scaled,2,2.85,0.9500000000000001,6.15,FALSE,0,scaled,1.2,1.568097058169433
300,BTC,eg,-2.75,0.1,26d 0H 0M 0S,3d 0H 0M 0S,log,rolling,7488,scaled,3,2.8,0.65,3.75,FALSE,1.35,scaled,1,1.5496186141705313
300,BTC,distance,-2.4,0.22000000000000003,26d 0H 0M 0S,13d 0H 0M 0S,log,rolling,7488,scaled,4,1.9,0.6000000000000001,3.25,TRUE,1.4000000000000001,weighted,1.85,1.5446299477424137
300,BTC,distance,-3.45,0.27,39d 0H 0M 0S,32d 0H 0M 0S,log,rolling,11232,scaled,2,2.7,0.9,3.45,FALSE,1.5,scaled,1.35,1.53453569377711
300,BTC,distance,-2.65,0.14,40d 0H 0M 0S,12d 0H 0M 0S,log,rolling,11520,scaled,2,1.05,0.4,6.45,TRUE,0.25,weighted,1.65,1.533481710019231
300,BTC,distance,-2.45,0.19,32d 0H 0M 0S,32d 0H 0M 0S,raw,rolling,9216,scaled,3,1.75,0.1,6.4,TRUE,1.35,weighted,1.7000000000000002,1.5251036315730355
300,BTC,eg,-3,0.33,27d 0H 0M 0S,42d 0H 0M 0S,raw,rolling,6912,scaled,3,2.2,0.8500000000000001,5.1,TRUE,1.8,scaled,1.05,1.524986534665538
300,USDT,distance,-2.15,0.09,40d 0H 0M 0S,25d 0H 0M 0S,log,rolling,11520,scaled,4,2.55,0.45,6.800000000000001,FALSE,0.4,equal,1.05,1.5026461080467413
300,USDT,eg,-2.6,0.18,23d 0H 0M 0S,54d 0H 0M 0S,raw,rolling,6624,scaled,2,1.3,0.6000000000000001,3.35,FALSE,0.55,equal,1.35,1.5019061236503817
300,BTC,eg,-2.65,0.26,12d 0H 0M 0S,38d 0H 0M 0S,log,rolling,3456,scaled,3,2,0.55,5.25,FALSE,1.7000000000000002,equal,1.7000000000000002,1.491777969240608
300,BTC,eg,-3.7,0.1,42d 0H 0M 0S,31d 0H 0M 0S,raw,rolling,10080,scaled,4,1.9500000000000002,0.55,6.85,FALSE,1.4000000000000001,weighted,1.9500000000000002,1.4866126622767937
300,BTC,eg,-3.55,0.060000000000000005,8d 0H 0M 0S,49d 0H 0M 0S,raw,rolling,2304,scaled,2,2.85,0.6000000000000001,6.35,FALSE,1.1500000000000001,weighted,2,1.4854166138032643
300,BTC,eg,-2.2,0.13,30d 0H 0M 0S,31d 0H 0M 0S,log,rolling,8640,scaled,2,2.6,0.7000000000000001,3.65,TRUE,1.5,weighted,1.15,1.4597949401737766
300,USDT,eg,-2.05,0.12000000000000001,24d 0H 0M 0S,31d 0H 0M 0S,raw,rolling,576,scaled,3,2.85,1,3.5,FALSE,1.2000000000000002,scaled,1.8,1.448184848041343
300,BTC,eg,-3.1,0.29,53d 0H 0M 0S,33d 0H 0M 0S,log,rolling,864,scaled,2,2.25,0.4,4.6,FALSE,1.6500000000000001,weighted,1.1,1.4475975118329638
300,USDT,eg,-3.95,0.09,40d 0H 0M 0S,49d 0H 0M 0S,log,rolling,1728,scaled,3,1.9,0.1,3.1,FALSE,1.85,weighted,1.6,1.4389414507050156
300,USDT,distance,-2.6,0.22000000000000003,13d 0H 0M 0S,57d 0H 0M 0S,log,rolling,3744,scaled,4,1.3,0.75,4.6,FALSE,0.15000000000000002,equal,1.9500000000000002,1.4370919908434483
300,BTC,eg,-3.55,0.09,20d 0H 0M 0S,49d 0H 0M 0S,log,rolling,5760,scaled,2,1.9,0.25,4.3,FALSE,0.2,weighted,1.4,1.4191473761846272
300,BTC,distance,-3.7,0.08,46d 0H 0M 0S,23d 0H 0M 0S,log,rolling,3456,scaled,3,2.6,0.65,5.9,TRUE,0.4,scaled,1.8,1.412847416106844
300,USDT,distance,-3.25,0.13,57d 0H 0M 0S,32d 0H 0M 0S,raw,rolling,14976,scaled,4,2.5,0.25,5.7,TRUE,1.9000000000000001,weighted,1,1.407343921977287
300,BTC,eg,-3.95,0.3,30d 0H 0M 0S,26d 0H 0M 0S,log,rolling,8640,scaled,3,2.4000000000000004,0.75,3.6,FALSE,1.9000000000000001,weighted,1.5,1.4019533760647613
300,USDT,eg,-3.1500000000000004,0.28,13d 0H 0M 0S,59d 0H 0M 0S,log,rolling,3744,scaled,2,2.95,0.15000000000000002,3.55,FALSE,1,equal,1.35,1.4012751978847313
300,BTC,distance,-2.2,0.18,54d 0H 0M 0S,31d 0H 0M 0S,raw,rolling,12384,scaled,4,2.05,0.6000000000000001,3.75,FALSE,0.35000000000000003,weighted,1.35,1.392960909906165
300,BTC,eg,-3.9000000000000004,0.05,16d 0H 0M 0S,21d 0H 0M 0S,raw,rolling,4608,scaled,3,2.2,0.8,5.5,TRUE,0,equal,1.1,1.382355200892264
300,BTC,eg,-2.7,0.12000000000000001,30d 0H 0M 0S,23d 0H 0M 0S,log,rolling,8640,scaled,2,2.3,0.05,4.95,FALSE,0.4,weighted,1.2,1.3783758265838555
300,BTC,distance,-2,0.38,14d 0H 0M 0S,60d 0H 0M 0S,raw,rolling,1728,scaled,3,2.85,0.5,3.85,FALSE,1.8,equal,1.8,1.3716225528583603
300,BTC,distance,-2.5,0.3,60d 0H 0M 0S,14d 0H 0M 0S,raw,rolling,16128,scaled,3,1.9,0.8,6.4,TRUE,0.35000000000000003,scaled,1.3,1.3631938404182622
300,BTC,eg,-2,0.11,58d 0H 0M 0S,32d 0H 0M 0S,log,rolling,10080,scaled,2,2.5,0.7000000000000001,3.35,TRUE,1.2000000000000002,scaled,1.85,1.3547924807176717
300,BTC,eg,-2,0.29,43d 0H 0M 0S,44d 0H 0M 0S,log,rolling,12384,scaled,4,2,0.8500000000000001,6.6,TRUE,0.7000000000000001,weighted,1.15,1.3459427951127816
300,USDT,distance,-3.85,0.12000000000000001,18d 0H 0M 0S,55d 0H 0M 0S,raw,rolling,5184,scaled,2,1.35,0.7000000000000001,4.55,FALSE,1,scaled,2,1.3369350688515331
300,BTC,eg,-3.9000000000000004,0.16,33d 0H 0M 0S,17d 0H 0M 0S,log,rolling,9504,scaled,4,1.85,0.05,4.1,FALSE,1.25,weighted,1.25,1.3247639455272575
300,BTC,distance,-2.25,0.16999999999999998,50d 0H 0M 0S,45d 0H 0M 0S,raw,rolling,4608,scaled,2,2.95,0.15000000000000002,4.65,TRUE,0.15000000000000002,scaled,1.55,1.321906872572369
