time_resolution,quote_currency,cointegration_test,adf_threshold,distance_threshold,train_window,test_window,model_type,regression_type,spread_type,rolling_window,signal_logic,signal_scaled_enter,signal_discrete_enter,signal_discrete_exit,signal_stop,signal_reenter,signal_reenter_threshold,pair_allocation,pair_allocation_scaling,overall_return
300,USDT,distance,-3.7,0.2,22d 0H 0M 0S,55d 0H 0M 0S,log,ols,rolling,6336,scaled,4,2.6,0.9,5.050000000000001,TRUE,0.55,scaled,1.8,2.5479651320235335
300,BTC,eg,-3.35,0.14,52d 0H 0M 0S,47d 0H 0M 0S,raw,ols,rolling,2304,scaled,4,1.05,0.8,5.95,FALSE,2,equal,1.3,5.211220864626678
300,BTC,distance,-3.2,0.22000000000000003,23d 0H 0M 0S,16d 0H 0M 0S,log,ols,rolling,6624,scaled,3,2.8,0.7000000000000001,3.35,FALSE,1.8,scaled,1.9500000000000002,2.0924749366470077
300,USDT,distance,-2.25,0.4,43d 0H 0M 0S,17d 0H 0M 0S,log,ols,rolling,8064,scaled,4,1.9500000000000002,0.2,5.050000000000001,TRUE,1.9500000000000002,scaled,1.9500000000000002,3.669962706313315
300,USDT,eg,-3.1,0.36,46d 0H 0M 0S,29d 0H 0M 0S,raw,ols,rolling,3168,scaled,2,1.2,0.9500000000000001,6.45,TRUE,0.15000000000000002,scaled,1,14.337530246110658
300,BTC,distance,-2.85,0.29,44d 0H 0M 0S,36d 0H 0M 0S,raw,ols,rolling,576,scaled,2,2.35,0.30000000000000004,4.35,TRUE,0.6000000000000001,scaled,1.85,78.25791261583709
300,BTC,eg,-2.95,0.2,55d 0H 0M 0S,59d 0H 0M 0S,log,ols,rolling,15840,scaled,4,2.4000000000000004,0.8,5.85,FALSE,1.75,scaled,1,1.5943482848837134
300,BTC,distance,-2.15,0.060000000000000005,29d 0H 0M 0S,36d 0H 0M 0S,log,ols,rolling,5472,scaled,3,2.05,0.35000000000000003,3.1,FALSE,1.5,weighted,1.05,1.0364509336405838
300,USDT,eg,-2.9,0.09,19d 0H 0M 0S,58d 0H 0M 0S,raw,ols,rolling,5472,scaled,4,1.9500000000000002,0.5,6.65,FALSE,1.1500000000000001,scaled,1.9,4.525876179958397
300,USDT,eg,-3.6,0.07,53d 0H 0M 0S,32d 0H 0M 0S,log,ols,rolling,14688,scaled,4,1.9,0.55,6.1,FALSE,1,equal,1.85,2.3734933934814473
