time_resolution,quote_currency,cointegration_test,adf_threshold,distance_threshold,train_window,test_window,model_type,spread_type,rolling_window,signal_logic,signal_scaled_enter,signal_discrete_enter,signal_discrete_exit,signal_stop,signal_reenter,signal_reenter_threshold,pair_allocation,pair_allocation_scaling,overall_return
300,USDT,eg,-2.6,16,59d 0H 0M 0S,60d 0H 0M 0S,log,rolling,3744,discrete,4,2,0.1,4.9,TRUE,1.4500000000000002,scaled,2,0.7157831736220324
86400,USDT,distance,-2,28,8d 0H 0M 0S,39d 0H 0M 0S,raw,fixed,8,scaled,3,1.35,0.1,4.9,FALSE,1.6500000000000001,equal,1.35,0.7156225755746014
900,BTC,distance,-2.6500000000000004,8,51d 0H 0M 0S,53d 0H 0M 0S,raw,fixed,1440,scaled,4,1.7000000000000002,0,6.6,FALSE,0.45,equal,1.7000000000000002,0.715502371023572
7200,BTC,distance,-3.6500000000000004,20,56d 0H 0M 0S,51d 0H 0M 0S,log,rolling,408,discrete,3,2,1,3.7,TRUE,1,scaled,1,0.7152818465321342
86400,BTC,eg,-1,18,53d 0H 0M 0S,4d 0H 0M 0S,raw,fixed,20,scaled,3,1.9,0.9,5.9,TRUE,1.5,scaled,1.1,0.715277465644978
14400,USDT,eg,-1.55,30,41d 0H 0M 0S,24d 0H 0M 0S,log,fixed,126,discrete,3,1.4,0.65,3.85,FALSE,0.75,weighted,1.75,0.7149176277741048
1800,BTC,distance,-2.85,28,59d 0H 0M 0S,50d 0H 0M 0S,raw,fixed,672,discrete,3,1.1,0.1,5.1,FALSE,1.7000000000000002,equal,1.9500000000000002,0.7146947194572018
14400,BTC,distance,-3.35,18,26d 0H 0M 0S,33d 0H 0M 0S,raw,rolling,156,discrete,4,1.9500000000000002,0.9,4.75,TRUE,0.1,equal,1.3,0.7142304649290444
7200,USDT,distance,-2.6500000000000004,10,39d 0H 0M 0S,54d 0H 0M 0S,raw,rolling,168,discrete,4,2.35,0.5,5.95,TRUE,0.25,equal,1.5,0.7139023314006188
900,BTC,eg,-2.95,20,27d 0H 0M 0S,34d 0H 0M 0S,raw,fixed,2592,scaled,2,1.7000000000000002,0.05,6.2,FALSE,0.45,weighted,1.25,0.7137356032411771
86400,BTC,eg,-2.25,30,56d 0H 0M 0S,14d 0H 0M 0S,raw,rolling,48,discrete,4,1.7000000000000002,0.8500000000000001,6.4,FALSE,0.75,equal,1.9,0.7136712747625695
14400,BTC,distance,-3.35,8,6d 0H 0M 0S,59d 0H 0M 0S,log,fixed,36,discrete,4,2.6500000000000004,0.9,6.25,TRUE,0.5,scaled,1.2,0.7132967873208536
86400,USDT,distance,-3.1,4,40d 0H 0M 0S,13d 0H 0M 0S,raw,rolling,34,discrete,3,1.9,0.1,4.5,TRUE,0.35000000000000003,equal,1.6,0.712694475026488
900,USDT,distance,-1.9500000000000002,24,18d 0H 0M 0S,37d 0H 0M 0S,raw,fixed,1728,scaled,3,2.95,0.75,6.300000000000001,TRUE,0.4,weighted,1.5,0.7125307782223469
86400,USDT,eg,-3.6,22,8d 0H 0M 0S,60d 0H 0M 0S,raw,fixed,8,scaled,2,1.2,0.75,6.15,FALSE,1.4500000000000002,equal,1.75,0.7122779608248474
7200,BTC,eg,-1.05,10,36d 0H 0M 0S,11d 0H 0M 0S,log,rolling,408,scaled,4,1.5,0,4.3,TRUE,1.1,equal,1.35,0.711792189181721
86400,USDT,distance,-3.5500000000000003,8,29d 0H 0M 0S,13d 0H 0M 0S,raw,fixed,29,discrete,3,2.2,0.35000000000000003,3.3,TRUE,0.8500000000000001,scaled,1.85,0.7117867522481858
86400,BTC,distance,-3,14,16d 0H 0M 0S,58d 0H 0M 0S,raw,fixed,16,scaled,2,2.6,0.05,5.25,FALSE,1.6,scaled,1.65,0.7110143369647979
1800,USDT,distance,-1.3,24,48d 0H 0M 0S,58d 0H 0M 0S,raw,fixed,1296,discrete,4,2.55,0.65,3.7,TRUE,1.8,scaled,1.65,0.7109009667805072
7200,BTC,distance,-3.85,6,30d 0H 0M 0S,26d 0H 0M 0S,raw,fixed,84,scaled,3,1.8,0,3.25,FALSE,2,equal,1.75,0.7092103781341863
