time_resolution,quote_currency,cointegration_test,adf_threshold,distance_threshold,train_window,test_window,model_type,regression_type,spread_type,rolling_window,signal_logic,signal_scaled_enter,signal_discrete_enter,signal_discrete_exit,signal_stop,signal_reenter,signal_reenter_threshold,pair_allocation,pair_allocation_scaling,overall_return
300,BTC,eg,-2,0.24,37d 0H 0M 0S,36d 0H 0M 0S,log,ols,rolling,10656,scaled,3,2.6500000000000004,0.2,4.45,TRUE,1.1500000000000001,weighted,1.1,2.238544014181257
300,USDT,distance,-3.6500000000000004,0.39,7d 0H 0M 0S,16d 0H 0M 0S,raw,ols,rolling,2016,scaled,2,2.95,0.1,6.9,TRUE,1.25,equal,1.85,17.25870079336978
300,USDT,distance,-2.4,0.13,56d 0H 0M 0S,30d 0H 0M 0S,raw,ols,rolling,7200,scaled,2,2.7,0.8500000000000001,5.15,FALSE,1,equal,1.6,1.868147170210368
300,BTC,eg,-3.05,0.07,50d 0H 0M 0S,13d 0H 0M 0S,raw,ols,rolling,3456,scaled,3,2.2,0.5,5.2,TRUE,1.3,weighted,1.85,9.680413296882863
300,USDT,distance,-3.2,0.13,50d 0H 0M 0S,39d 0H 0M 0S,log,ols,rolling,8640,scaled,4,2.3,0.65,6.550000000000001,TRUE,1.75,equal,1.15,1.6787224709594566
300,USDT,distance,-2.65,0.19,47d 0H 0M 0S,11d 0H 0M 0S,log,ols,rolling,3456,scaled,3,2.2,0.45,3.6,TRUE,0.55,scaled,1.35,7.708714149814994
300,BTC,distance,-3.6500000000000004,0.39,17d 0H 0M 0S,7d 0H 0M 0S,log,ols,rolling,4896,scaled,2,2.6,0.35000000000000003,3.7,FALSE,1.1,scaled,1.2,2.759324158698221
300,BTC,distance,-3.2,0.35,14d 0H 0M 0S,20d 0H 0M 0S,log,ols,rolling,4032,scaled,4,1.35,0.55,3.85,TRUE,0.15000000000000002,weighted,1.05,2.5393685034617173
300,BTC,eg,-3.8,0.11,43d 0H 0M 0S,9d 0H 0M 0S,log,ols,rolling,3744,scaled,4,1.1,0.8500000000000001,3.7,TRUE,0.05,equal,1,3.3953883523162607
300,USDT,eg,-4,0.37,26d 0H 0M 0S,16d 0H 0M 0S,log,ols,rolling,3168,scaled,4,1.3,0.2,4.3,TRUE,1.4000000000000001,weighted,1.5,6.905573909292876
300,BTC,distance,-2.5,0.27,52d 0H 0M 0S,15d 0H 0M 0S,log,ols,rolling,14976,scaled,4,1.2,0.8500000000000001,3.75,TRUE,0.15000000000000002,scaled,1.55,1.4255447811795248
300,BTC,eg,-3.7,0.31,42d 0H 0M 0S,11d 0H 0M 0S,log,ols,rolling,864,scaled,2,2.95,0.05,4.3,TRUE,0.4,equal,1.35,28.85904508517776
300,BTC,eg,-2.55,0.27,6d 0H 0M 0S,60d 0H 0M 0S,log,ols,rolling,1728,scaled,4,1.1,0.8500000000000001,3.5,FALSE,1.6500000000000001,equal,1.75,1.2237446709739555
300,USDT,eg,-3.9000000000000004,0.05,24d 0H 0M 0S,42d 0H 0M 0S,raw,ols,rolling,4320,scaled,4,1.85,0.7000000000000001,3.75,TRUE,1.6,equal,2,10.589214750336282
300,USDT,eg,-2.75,0.25,38d 0H 0M 0S,19d 0H 0M 0S,raw,ols,rolling,1152,scaled,3,2.45,0.55,5.4,FALSE,0.25,equal,1.9,7.854291723314001
300,BTC,distance,-2.5,0.36,14d 0H 0M 0S,11d 0H 0M 0S,raw,ols,rolling,4032,scaled,2,2.75,0.2,5.35,TRUE,0.8500000000000001,scaled,1.55,6.543592642480596
300,BTC,distance,-3.1,0.09,34d 0H 0M 0S,52d 0H 0M 0S,raw,ols,rolling,2592,scaled,4,2.1,0.5,6.550000000000001,FALSE,1.1,weighted,1.3,5.743479989932087
300,USDT,eg,-2.45,0.11,12d 0H 0M 0S,13d 0H 0M 0S,log,ols,rolling,2592,scaled,4,1.7000000000000002,1,4.2,FALSE,1.9000000000000001,equal,1.5,2.5623411487083456
300,USDT,eg,-2.35,0.39,37d 0H 0M 0S,16d 0H 0M 0S,raw,ols,rolling,4896,scaled,3,2.6500000000000004,1,6.300000000000001,FALSE,0,equal,1.25,6.29885090437413
300,USDT,eg,-2.1,0.08,49d 0H 0M 0S,53d 0H 0M 0S,log,ols,rolling,6912,scaled,4,2.75,0.25,6.75,FALSE,1.9000000000000001,weighted,1.6,2.6571188063259177
300,USDT,distance,-2.45,0.15000000000000002,32d 0H 0M 0S,42d 0H 0M 0S,log,ols,rolling,9216,scaled,3,3,0.05,6.2,TRUE,0.45,equal,1,2.625012298671268
300,BTC,eg,-2.5,0.13,57d 0H 0M 0S,54d 0H 0M 0S,log,ols,rolling,12960,scaled,4,2.05,0.35000000000000003,3.55,FALSE,1.6500000000000001,weighted,1.2,1.5424499398389901
300,BTC,eg,-2.05,0.29,31d 0H 0M 0S,17d 0H 0M 0S,log,ols,rolling,8928,scaled,2,2,0.25,3.1,TRUE,1.9000000000000001,scaled,1.55,2.775773884869269
300,BTC,distance,-3.25,0.28,47d 0H 0M 0S,15d 0H 0M 0S,raw,ols,rolling,4032,scaled,4,2.25,0.8500000000000001,5,TRUE,0.30000000000000004,weighted,1.1,3.7030432864789415
