time_resolution,train_window,test_window,quote_currency,adf_threshold,rolling_window,stop_threshold,signal_logic,model_type,overall_return
300,16d 0H 0M 0S,14d 0H 0M 0S,BTC,-2.1500000000000004,4608,4.99,discrete,raw,1.2661529416758486
900,25d 0H 0M 0S,37d 0H 0M 0S,BTC,-1.6,2400,6.78,discrete,raw,1.25783013171944
1800,12d 0H 0M 0S,26d 0H 0M 0S,BTC,-3.42,576,6.83,discrete,raw,1.2506253709214912
900,44d 0H 0M 0S,18d 0H 0M 0S,USDT,-3.02,4224,3.81,scaled,raw,1.2381784699793374
300,23d 0H 0M 0S,49d 0H 0M 0S,BTC,-1.44,6624,3.76,scaled,log,1.2270237569324873
86400,59d 0H 0M 0S,31d 0H 0M 0S,BTC,-2.94,5,5.7,scaled,log,1.2219325265299108
900,7d 0H 0M 0S,10d 0H 0M 0S,USDT,-3.4,672,3.85,discrete,raw,1.210353541991773
86400,21d 0H 0M 0S,52d 0H 0M 0S,BTC,-2.91,19,5.7,discrete,log,1.1960742060916105
300,48d 0H 0M 0S,28d 0H 0M 0S,BTC,-1.85,13824,3.32,discrete,log,1.1910614872384064
1800,16d 0H 0M 0S,28d 0H 0M 0S,BTC,-3.49,768,5.38,discrete,log,1.190653987003424
900,44d 0H 0M 0S,37d 0H 0M 0S,USDT,-3.84,4224,3.51,discrete,log,1.1892647454863847
900,50d 0H 0M 0S,8d 0H 0M 0S,USDT,-1.42,1248,6.37,discrete,log,1.1755655609993927
900,57d 0H 0M 0S,17d 0H 0M 0S,BTC,-2.19,864,4.37,scaled,raw,1.1711421370321686
900,58d 0H 0M 0S,59d 0H 0M 0S,BTC,-3.7600000000000002,4416,3.91,discrete,log,1.1662943207619587
1800,56d 0H 0M 0S,23d 0H 0M 0S,BTC,-2.62,1920,4.640000000000001,scaled,log,1.1655900899880298
900,57d 0H 0M 0S,33d 0H 0M 0S,USDT,-2.34,4800,3.3,scaled,log,1.164337682376813
900,48d 0H 0M 0S,19d 0H 0M 0S,USDT,-2.55,1632,3.7199999999999998,discrete,raw,1.1605109997949028
300,29d 0H 0M 0S,40d 0H 0M 0S,BTC,-2.49,8352,3.69,discrete,log,1.1598378212763438
1800,43d 0H 0M 0S,43d 0H 0M 0S,BTC,-2.29,1344,4.22,discrete,raw,1.157302939932284
7200,26d 0H 0M 0S,17d 0H 0M 0S,USDT,-3.29,264,5.02,discrete,log,1.1452515606132456
300,38d 0H 0M 0S,30d 0H 0M 0S,BTC,-1.53,10944,3.65,scaled,log,1.1440521573025988
900,33d 0H 0M 0S,39d 0H 0M 0S,USDT,-2.27,2208,6.77,scaled,log,1.1387311622271448
1800,6d 0H 0M 0S,19d 0H 0M 0S,USDT,-1.38,288,4.11,discrete,raw,1.1334854612803924
900,11d 0H 0M 0S,24d 0H 0M 0S,BTC,-3.94,672,4.16,discrete,log,1.1316321283563768
1800,9d 0H 0M 0S,14d 0H 0M 0S,BTC,-1.69,432,6.720000000000001,discrete,raw,1.128805142129052
900,32d 0H 0M 0S,29d 0H 0M 0S,BTC,-2.9699999999999998,3072,3.93,scaled,raw,1.1166246466533643
1800,32d 0H 0M 0S,43d 0H 0M 0S,BTC,-1.46,1536,6.79,discrete,raw,1.1161918646064752
86400,36d 0H 0M 0S,8d 0H 0M 0S,BTC,-1.74,27,5.71,discrete,log,1.1153865095001794
1800,6d 0H 0M 0S,7d 0H 0M 0S,USDT,-2.71,288,6.26,discrete,raw,1.1142890084212251
1800,58d 0H 0M 0S,12d 0H 0M 0S,USDT,-1.49,2352,6.48,discrete,raw,1.1122027368421437
7200,35d 0H 0M 0S,18d 0H 0M 0S,BTC,-1.54,300,6.42,discrete,log,1.1095768194604707
1800,58d 0H 0M 0S,35d 0H 0M 0S,BTC,-1.6600000000000001,1344,3.62,discrete,raw,1.108343719145225
300,10d 0H 0M 0S,27d 0H 0M 0S,BTC,-1.49,2880,3.8,scaled,log,1.1061954880666076
900,50d 0H 0M 0S,49d 0H 0M 0S,BTC,-2.84,4128,6.08,discrete,raw,1.1018733200931683
1800,7d 0H 0M 0S,9d 0H 0M 0S,USDT,-1.75,336,5.970000000000001,discrete,raw,1.098369668914346
900,60d 0H 0M 0S,54d 0H 0M 0S,USDT,-2.12,480,6.07,scaled,raw,1.091417274147922
1800,29d 0H 0M 0S,33d 0H 0M 0S,BTC,-1.16,1392,5.75,discrete,raw,1.0882046076596807
900,22d 0H 0M 0S,14d 0H 0M 0S,USDT,-1.77,2112,6.42,scaled,log,1.082775596939208
900,43d 0H 0M 0S,59d 0H 0M 0S,USDT,-3,1152,6.43,scaled,log,1.0783924877798143
