time_resolution,train_window,test_window,quote_currency,adf_threshold,rolling_window,stop_threshold,signal_logic,model_type,overall_return
7200,10d 0H 0M 0S,11d 0H 0M 0S,BTC,-2.6100000000000003,120,4.28,discrete,raw,0.8209087500967175
86400,39d 0H 0M 0S,8d 0H 0M 0S,BTC,-1.35,36,4.4399999999999995,scaled,log,0.8185027606527722
7200,5d 0H 0M 0S,24d 0H 0M 0S,BTC,-1.09,60,3.24,scaled,log,0.8184998340635968
7200,41d 0H 0M 0S,24d 0H 0M 0S,USDT,-3.98,468,3.85,scaled,log,0.8128354923504859
14400,49d 0H 0M 0S,35d 0H 0M 0S,USDT,-1.49,282,5.24,scaled,log,0.8114682432473389
86400,58d 0H 0M 0S,50d 0H 0M 0S,BTC,-1.8,46,6.95,scaled,log,0.8063925921236251
7200,46d 0H 0M 0S,51d 0H 0M 0S,USDT,-1.82,204,5.12,discrete,raw,0.8051777827303824
900,11d 0H 0M 0S,55d 0H 0M 0S,USDT,-1.51,1056,6.800000000000001,scaled,raw,0.8012960838684468
1800,22d 0H 0M 0S,14d 0H 0M 0S,BTC,-3.33,912,4.82,scaled,log,0.8006848639870436
14400,45d 0H 0M 0S,22d 0H 0M 0S,USDT,-1.9500000000000002,162,5.52,scaled,log,0.7958600769264287
7200,17d 0H 0M 0S,30d 0H 0M 0S,BTC,-3.36,204,3.11,scaled,log,0.7867093624277688
7200,10d 0H 0M 0S,15d 0H 0M 0S,BTC,-2.96,96,5.37,scaled,log,0.784273684275186
86400,11d 0H 0M 0S,38d 0H 0M 0S,USDT,-2.02,11,5.27,scaled,log,0.7743189709712409
14400,6d 0H 0M 0S,34d 0H 0M 0S,BTC,-2.12,24,3.55,scaled,log,0.7676049172960444
14400,31d 0H 0M 0S,32d 0H 0M 0S,USDT,-3.09,186,4.74,discrete,raw,0.7309954627162568
7200,36d 0H 0M 0S,34d 0H 0M 0S,BTC,-2.52,432,5.41,scaled,log,0.7270448708330718
900,30d 0H 0M 0S,43d 0H 0M 0S,BTC,-1.57,1632,3.36,scaled,raw,0.7240031668331505
14400,32d 0H 0M 0S,20d 0H 0M 0S,BTC,-1.18,132,3.02,scaled,log,0.7219100436039199
1800,48d 0H 0M 0S,54d 0H 0M 0S,USDT,-1.19,1008,5.9,scaled,raw,0.7162655627204638
14400,11d 0H 0M 0S,58d 0H 0M 0S,USDT,-1.43,66,5.03,scaled,log,0.7118215535897935
1800,33d 0H 0M 0S,15d 0H 0M 0S,BTC,-1.22,864,3.85,scaled,raw,0.710364708428957
14400,36d 0H 0M 0S,50d 0H 0M 0S,USDT,-1.46,216,3.33,scaled,raw,0.7093920100934973
900,53d 0H 0M 0S,47d 0H 0M 0S,USDT,-2.3600000000000003,1056,4.53,scaled,raw,0.7087018164986248
14400,53d 0H 0M 0S,37d 0H 0M 0S,USDT,-3.72,282,4.53,scaled,log,0.7085122991818285
1800,20d 0H 0M 0S,45d 0H 0M 0S,BTC,-2.0300000000000002,960,6.42,scaled,raw,0.7025636132716646
7200,28d 0H 0M 0S,54d 0H 0M 0S,USDT,-1.94,336,4.35,scaled,raw,0.6970759935027941
14400,27d 0H 0M 0S,23d 0H 0M 0S,BTC,-1.6099999999999999,162,3.48,scaled,log,0.6813801050102968
1800,58d 0H 0M 0S,41d 0H 0M 0S,USDT,-1.5899999999999999,384,6.99,scaled,raw,0.6694529861738656
86400,55d 0H 0M 0S,31d 0H 0M 0S,USDT,-1.38,18,6.27,scaled,raw,0.6647492733576279
86400,43d 0H 0M 0S,51d 0H 0M 0S,BTC,-3.2,19,3.92,discrete,log,0.6615355423813337
14400,6d 0H 0M 0S,27d 0H 0M 0S,USDT,-3.57,36,4.29,discrete,log,0.6536060321673751
14400,40d 0H 0M 0S,27d 0H 0M 0S,BTC,-3.95,234,6.53,scaled,raw,0.6462752346003021
1800,29d 0H 0M 0S,36d 0H 0M 0S,BTC,-1.69,720,4.68,scaled,raw,0.626193168987679
14400,24d 0H 0M 0S,19d 0H 0M 0S,USDT,-3.24,144,5.84,scaled,log,0.6119655792565741
86400,33d 0H 0M 0S,26d 0H 0M 0S,USDT,-2.3600000000000003,33,6.34,scaled,raw,0.5668687377871712
86400,26d 0H 0M 0S,19d 0H 0M 0S,USDT,-1.5899999999999999,10,5.5,scaled,raw,0.54806293923059
86400,44d 0H 0M 0S,37d 0H 0M 0S,USDT,-2.8200000000000003,23,6.550000000000001,scaled,raw,0.5385665786952968
7200,33d 0H 0M 0S,33d 0H 0M 0S,BTC,-2.67,396,6.32,scaled,raw,0.4968877144519551
14400,45d 0H 0M 0S,13d 0H 0M 0S,USDT,-3.14,42,6.27,scaled,raw,0.47400844477258325
7200,17d 0H 0M 0S,51d 0H 0M 0S,USDT,-1.8,204,4.99,scaled,raw,0.45920627053777757
86400,38d 0H 0M 0S,59d 0H 0M 0S,BTC,-2.0700000000000003,27,3.59,scaled,raw,0.43705090800435176
86400,16d 0H 0M 0S,18d 0H 0M 0S,USDT,-2.24,16,6.01,scaled,raw,0.41106618281680396
14400,52d 0H 0M 0S,6d 0H 0M 0S,BTC,-2.4299999999999997,216,3.83,scaled,raw,0.40343273567942
86400,19d 0H 0M 0S,38d 0H 0M 0S,BTC,-2.7800000000000002,13,6.09,scaled,raw,0.3696849460489756
7200,44d 0H 0M 0S,26d 0H 0M 0S,USDT,-3.79,216,5.359999999999999,scaled,raw,0.34791949631221747
14400,13d 0H 0M 0S,34d 0H 0M 0S,USDT,-2.26,78,6.52,scaled,raw,0.33863386231996656
14400,16d 0H 0M 0S,10d 0H 0M 0S,USDT,-1.15,96,6.140000000000001,scaled,raw,0.33749272735539665
14400,23d 0H 0M 0S,39d 0H 0M 0S,USDT,-1.42,60,5.970000000000001,scaled,raw,0.307419885224105
