time_resolution,quote_currency,cointegration_test,adf_threshold,distance_threshold,train_window,test_window,model_type,regression_type,spread_type,rolling_window,signal_logic,signal_scaled_enter,signal_discrete_enter,signal_discrete_exit,signal_stop,signal_reenter,signal_reenter_threshold,pair_allocation,pair_allocation_scaling,overall_return
300,BTC,distance,-2.3,0.37,51d 0H 0M 0S,27d 0H 0M 0S,raw,ols,rolling,1728,scaled,2,2.9000000000000004,0.9,3.35,TRUE,0.35000000000000003,equal,1.35,7.273545462391942
300,BTC,eg,-2.5,0.33,35d 0H 0M 0S,45d 0H 0M 0S,log,ols,rolling,6336,scaled,4,1.55,0.9500000000000001,5.2,FALSE,1,equal,1.05,2.293092347728602
300,USDT,eg,-3.1,0.24,46d 0H 0M 0S,44d 0H 0M 0S,raw,ols,rolling,8928,scaled,2,1.7000000000000002,0.8500000000000001,4.45,TRUE,1.2000000000000002,weighted,1.75,6.865644253555223
300,BTC,eg,-2.7,0.39,29d 0H 0M 0S,41d 0H 0M 0S,log,ols,rolling,8352,scaled,2,2.4000000000000004,0.05,4.8,TRUE,0.75,weighted,1.05,2.7225210886600055
300,USDT,distance,-2.85,0.24,23d 0H 0M 0S,52d 0H 0M 0S,log,ols,rolling,6624,scaled,2,1.25,0.65,6.75,TRUE,0.25,weighted,1.75,4.818347453215171
300,USDT,distance,-2.25,0.31,28d 0H 0M 0S,46d 0H 0M 0S,log,ols,rolling,4320,scaled,4,1.35,0.05,4.5,FALSE,1.1,weighted,1.7000000000000002,1.5503400896573387
300,USDT,distance,-2.4,0.21000000000000002,15d 0H 0M 0S,25d 0H 0M 0S,raw,ols,rolling,4320,scaled,4,1.75,0.05,3.2,FALSE,0.8,equal,1.55,2.2367876075374262
300,USDT,distance,-3.5,0.27,9d 0H 0M 0S,19d 0H 0M 0S,log,ols,rolling,2592,scaled,4,2.75,0.8,5.800000000000001,TRUE,0.25,equal,1.4,3.3743277899473028
300,BTC,eg,-3.1,0.24,3d 0H 0M 0S,23d 0H 0M 0S,log,ols,rolling,864,scaled,4,1.15,0.6000000000000001,6.2,TRUE,0.9500000000000001,equal,1.4,10.877176981630855
300,BTC,eg,-2.15,0.08,45d 0H 0M 0S,59d 0H 0M 0S,log,ols,rolling,12960,scaled,3,1.8,0.35000000000000003,6.75,TRUE,1.2000000000000002,scaled,2,2.183193854293289
300,BTC,distance,-3.1,0.26,56d 0H 0M 0S,12d 0H 0M 0S,raw,ols,rolling,6336,scaled,2,2.35,0.8500000000000001,4.95,FALSE,1.8,scaled,1.9500000000000002,3.5902366437412545
300,BTC,eg,-2.65,0.19,44d 0H 0M 0S,8d 0H 0M 0S,log,ols,rolling,3456,scaled,4,1.85,0.15000000000000002,4.45,FALSE,0.15000000000000002,equal,1.1,2.8854432988763397
300,USDT,distance,-2.35,0.12000000000000001,60d 0H 0M 0S,55d 0H 0M 0S,log,ols,rolling,2016,scaled,3,2.55,0.8,5,TRUE,1.2000000000000002,scaled,1.3,1.4395389694878435
300,BTC,distance,-4,0.14,17d 0H 0M 0S,44d 0H 0M 0S,log,ols,rolling,2016,scaled,3,2.95,0.9,3,FALSE,1.1,weighted,1.6,1.1623435567542615
300,USDT,distance,-2.6,0.07,23d 0H 0M 0S,31d 0H 0M 0S,log,ols,rolling,4320,scaled,2,1.35,0.9500000000000001,5.050000000000001,FALSE,1.05,scaled,1.5,1.561943624762874
300,USDT,eg,-3.35,0.15000000000000002,7d 0H 0M 0S,52d 0H 0M 0S,log,ols,rolling,2016,scaled,2,2.75,0.55,3.2,FALSE,0.30000000000000004,equal,1.9500000000000002,1.4421259739609653
300,USDT,eg,-3.9000000000000004,0.16999999999999998,60d 0H 0M 0S,3d 0H 0M 0S,raw,ols,rolling,14976,scaled,4,2.35,0.6000000000000001,3.6,TRUE,0.25,scaled,1.5,7.445455664529522
